,Country,Survey year,Age of reference,Paid work or study,paid work (all jobs),travel to and from work/study,time in school or classes,research/homework,job search,other paid work or study-related,Unpaid work,routine housework,shopping,care for household members,child care,adult care,care for non household members,volunteering,travel related to household activities,other unpaid,Personal care,sleeping,eating & drinking,"personal, household, and medical services + travel related to personal care",Leisure,sports,participating / attending events,visiting or entertaining friends,TV or radio at home,Other leisure activities,Other,religious / spiritual activities and civic obligations,other (no categories),Total,Household net adjusted disposable income,Employment rate,Quality of support network,Life expectancy,Self-reported health,Life satisfaction,Other Paid Work,Care for Others,Housework,Events,Unpaid Work
0,Australia,2006,15 and more,238,186,25,16,11,..,..,243,132,29,45,..,..,..,6,32,..,657,512,89,56,281,19,6,40,140,76,20,13,7,1440,37433,73,93,83.0,85,7.1,..,..,164,..,25
1,Austria,2008/09,15-64,306,248,29,26,1,1,1,202,125,21,34,33,1,1,4,17,2,632,498,79,55,291,32,9,82,109,59,8,3,5,1440,37001,72,92,82.0,71,7.2,3,39,142,23,41
2,Belgium,2013,15-64,236,168,26,27,15,..,..,192,121,29,22,22,..,4,3,15,..,664,513,99,53,339,21,15,50,131,122,9,3,7,1440,34884,65,90,82.1,74,6.8,..,29,136,..,36
3,Canada,2015,15-64,305,238,29,21,15,2,..,186,115,24,29,28,1,4,3,10,..,637,520,65,52,279,21,6,53,109,89,34,4,30,1440,34421,70,93,82.1,89,7.0,..,36,125,..,27
4,Denmark,2001,15-64,225,177,23,16,9,..,..,217,128,26,28,..,..,10,3,22,..,659,489,119,52,329,22,7,81,123,95,10,6,4,1440,33774,74,95,81.5,70,7.5,..,41,150,..,29
5,Estonia,2009/10,15-64,256,201,29,24,1,..,..,208,121,24,28,28,..,10,2,23,..,663,530,79,54,309,27,8,38,122,114,5,1,4,1440,23784,74,95,78.8,57,6.5,..,40,144,..,35
6,Finland,2009/10,15-64,229,177,21,29,..,..,2,197,109,26,23,22,1,3,4,21,10,640,508,81,52,331,37,8,55,118,113,43,1,41,1440,33471,72,96,82.1,68,7.9,..,30,130,36,45
7,France,2009/10,15-64,204,145,23,24,10,2,0,181,129,22,22,21,1,2,..,6,1,752,513,133,107,294,12,15,55,114,98,9,3,6,1440,34375,65,94,82.9,67,6.7,12,..,135,23,27
8,Germany,2012/13,15-64,248,191,28,14,10,1,4,196,109,32,19,18,1,6,6,20,3,648,498,95,55,331,26,14,61,118,112,17,3,14,1440,38971,77,90,81.4,66,7.3,15,31,129,35,40
9,Greece,2013,15-64,228,163,25,23,17,..,..,180,125,16,19,19,..,7,0,13,..,685,500,128,57,341,28,5,56,137,115,6,3,3,1440,20791,56,78,81.7,79,5.8,..,26,138,..,33
