in,Country,Survey year,Paid work or study,Paid work (all jobs),Travel to and from work/study,Time in school or classes,Unpaid work,Child care,Adult care,Personal care,Sleeping,Eating & drinking,"Personal, household, and medical services + travel related to personal care",Leisure,Visiting or entertaining friends,TV or radio at home,Other leisure activities,Other,Religious / spiritual activities and civic obligations,Other (no categories),Household net adjusted disposable income,Employment rate,Quality of support network,Life expectancy,Self-reported health,Life satisfaction,Other Paid Work,Care for Others,Housework,Events,Unpaid Work
0,Australia,2006,238,186,25,16,243,..,..,657,512,89,56,281,40,140,76,20,13,7,37433,73,93,83.0,85,7.1,..,..,164,..,25
1,Austria,2009,306,248,29,26,202,33,1,632,498,79,55,291,82,109,59,8,3,5,37001,72,92,82.0,71,7.2,3,39,142,23,41
2,Belgium,2013,236,168,26,27,192,22,..,664,513,99,53,339,50,131,122,9,3,7,34884,65,90,82.1,74,6.8,..,29,136,..,36
3,Canada,2015,305,238,29,21,186,28,1,637,520,65,52,279,53,109,89,34,4,30,34421,70,93,82.1,89,7.0,..,36,125,..,27
4,Denmark,2001,225,177,23,16,217,..,..,659,489,119,52,329,81,123,95,10,6,4,33774,74,95,81.5,70,7.5,..,41,150,..,29
5,Estonia,2010,256,201,29,24,208,28,..,663,530,79,54,309,38,122,114,5,1,4,23784,74,95,78.8,57,6.5,..,40,144,..,35
6,Finland,2010,229,177,21,29,197,22,1,640,508,81,52,331,55,118,113,43,1,41,33471,72,96,82.1,68,7.9,..,30,130,36,45
7,France,2010,204,145,23,24,181,21,1,752,513,133,107,294,55,114,98,9,3,6,34375,65,94,82.9,67,6.7,12,..,135,23,27
8,Germany,2013,248,191,28,14,196,18,1,648,498,95,55,331,61,118,112,17,3,14,38971,77,90,81.4,66,7.3,15,31,129,35,40
9,Greece,2013,228,163,25,23,180,19,..,685,500,128,57,341,56,137,115,6,3,3,20791,56,78,81.7,79,5.8,..,26,138,..,33
10,Hungary,2010,238,171,29,27,229,33,..,683,506,101,76,281,35,134,94,9,1,7,21026,70,94,76.4,58,6.0,..,43,247,..,19
11,Ireland,2005,268,208,23,37,210,..,..,609,491,75,42,312,49,85,116,41,6,35,29488,68,96,82.8,84,7.0,..,..,114,..,62
12,Japan,2016,363,282,43,37,132,19,4,620,442,93,85,278,17,103,148,47,..,47,28872,77,89,84.4,37,6.1,..,..,79,..,..
13,Korea,2014,344,231,57,37,132,..,..,678,471,117,90,258,42,102,82,28,9,18,24590,66,80,83.3,34,5.8,..,30,89,..,31
14,Latvia,2003,330,280,37,10,196,15,..,641,512,89,40,269,35,123,81,4,2,2,19783,72,92,75.5,47,6.2,..,26,154,..,30
15,Luxembourg,2013,285,212,35,25,179,20,..,686,518,112,55,276,32,116,82,14,3,11,44773,67,91,82.7,72,7.4,..,26,130,..,45
16,Mexico,2014,349,263,39,34,264,33,6,634,499,77,58,172,44,66,41,21,20,1,16269,59,77,75.1,66,6.0,..,52,197,..,21
17,Netherlands,2016,243,183,31,14,186,21,0,682,503,114,65,315,73,113,101,15,6,10,34984,78,94,82.2,75,7.5,16,34,123,29,29
18,New Zealand,2010,270,218,23,18,204,30,..,648,526,80,42,301,69,124,85,17,9,9,39024,77,95,82.1,86,7.3,..,43,138,..,23
19,Poland,2013,260,202,27,21,226,38,..,657,509,91,57,286,45,122,93,11,9,3,23675,69,94,78.0,60,6.1,..,48,153,..,26
20,Portugal,1999,295,234,25,27,223,0,0,676,506,112,58,241,44,114,60,6,5,1,24877,69,87,81.8,50,5.8,9,26,181,15,23
21,Slovenia,2001,265,202,25,21,231,21,..,628,501,86,41,311,62,120,92,6,4,2,25250,71,95,81.6,67,6.5,..,29,184,..,37
22,Spain,2010,202,151,21,18,217,32,3,692,516,126,51,316,51,129,85,13,4,9,27155,62,93,83.9,75,6.5,12,42,138,37,51
23,Sweden,2010,293,231,31,31,196,25,7,622,483,83,57,321,53,113,112,6,..,..,33730,75,94,83.2,76,7.3,..,..,133,30,43
24,Turkey,2015,246,186,31,17,186,26,2,682,515,118,50,286,68,124,82,40,33,7,..,48,85,78.6,67,4.9,..,34,136,17,12
25,UK,2015,262,194,39,14,195,26,6,645,508,79,58,306,47,133,98,32,4,28,33049,75,93,81.3,73,6.8,16,42,124,..,26
26,USA,2019,289,233,22,18,219,27,2,652,531,62,59,286,43,144,72,24,8,16,51147,67,94,78.9,88,7.0,..,39,127,25,27
